response,title,main_desc,prerequisite,what_u_learn,instructor,inst_desig,inst_bio,total_duration,total_duration_unit,course_start_date,contents,display_price,emi,currency
<200 https://www.udacity.com/course/data-scientist-nanodegree--nd025>,Become a Data Scientist,<p>Gain real-world data science experience with projects designed by industry experts. Build your portfolio and advance your data science career. </p>,"Python, SQL & Statistics","You’ll master the skills necessary to become a successful Data Scientist. You’ll work on projects designed by industry experts, and learn to run data pipelines, design experiments, build recommendation systems, and deploy solutions to the cloud.
",Josh Bernhard | Juno Lee| Luis Serrano| Andrew Paster| Mike Yi| David Drummond| Judit Lantos,Data Scientist at Nerd Wallet | Data Science Instructor| Instructor| Instructor| Data Analyst Instructor| VP of Engineering at Insight| Senior Data Engineer at Netflix,"Josh has been sharing his passion for data for nearly a decade at all levels of university, and as Lead Data Science Instructor at Galvanize. He's used data science for work ranging from cancer research to process automation.| As a data scientist, Juno built a recommendation engine to personalize online shopping experiences, computer vision and natural language processing models to analyze product data, and tools to generate insight into user behavior.| Luis was formerly a Machine Learning Engineer at Google. He holds a PhD in mathematics from the University of Michigan, and a Postdoctoral Fellowship at the University of Quebec at Montreal. | Andrew has an engineering degree from Yale, and has used his data science skills to build a jewelry business from the ground up. He has additionally created courses for Udacity’s Self-Driving Car Engineer Nanodegree program.| Mike is a content developer with a multidisciplinary academic background, including math, statistics, physics, and psychology. Previously, he worked on Udacity's Data Analyst Nanodegree program as a support lead.| David is VP of Engineering at Insight where he enjoys breaking down difficult concepts and helping others learn data engineering. David has a PhD in Physics from UC Riverside.| Judit is a Senior Data Engineer at Netflix. Formerly a Data Engineer at Split, where she worked on the statistical engine of their full-stack experimentation platform, she has also been an instructor at Insight Data Science, helping software engineers and academic coders transition to DE roles. ",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Solving Data Science Problems</heading><subheading><item1>Write a Data Science Blog Post</item1><item2>Build Disaster Response Pipelines with Figure Eight</item2><item3>Design a Recommendation Engine with IBM</item3><item4>Data Science Capstone Project</item4></subheading></module1><module2><heading>Software Engineering for Data Scientists</heading><subheading></subheading></module2><module3><heading>Data Engineering for Data Scientists</heading><subheading></subheading></module3><module4><heading>Experiment Design and Recommendations</heading><subheading></subheading></module4><module5><heading>Data Science Projects</heading><subheading></subheading></module5></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/product-manager-nanodegree--nd036>,Become a Product Manager,"<p>Envision and lead the product strategy of industry-defining products, and learn to successfully bring them to market. Influence the execution of product development as a Product Manager, one of the most highly-coveted roles in technology.</p>",No Experience Required,"Product Managers are responsible for designing and delivering a profitable product or feature into the market. In this program, you will learn to define product strategy and KPIs based on market analysis, pitch a product vision to get stakeholder buy-in, and design a user-centered prototype that adheres to engineering constraints. Then, you will develop an execution timeline that handles competing priorities, communicate a product roadmap that builds consensus amongst internal stakeholders, and create a comprehensive go-to-market plan based on product KPIs. Finally, you will build tests to enhance product features based on market data.
",Anastasia Root| Alex King| Yuva Murugan,Product Manager at Google| Product Manager at Uber| Product Consultant,"Anastasia is a Growth Product Manager at Google, leading growth for the Google iOS Search app. Prior to Google, Anastasia has worked on products in Real Estate, FinTech, dating, navigation, and enterprise software. 
| Alex is passionate about simplifying complex user problems. He leads Rider Experience for JUMP Bikes & Scooters, and previously Setup Experiences for smart home devices like Google Wifi, Google Home, and Chromecast.| Yuva has led SaaS products across various-stage startups and Fortune 10 companies. She is dedicated to evolving a company’s vision into a product with a strong market fit, while creating delightful user experiences.",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Product Strategy</heading><subheading><item1>Pitch a Product Vision</item1><item2>Run a Design Sprint</item2><item3>Manage the Product Development Process</item3><item4>Deliver a Product to Market</item4></subheading></module1><module2><heading>Product Design</heading><subheading></subheading></module2><module3><heading>Product Development</heading><subheading></subheading></module3><module4><heading>Product Launch</heading><subheading></subheading></module4></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/intro-to-programming-nanodegree--nd000>,Learn to Code,"<p>Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for beginners.</p>",No Coding Experience Needed,"Learn the basics of programming through HTML, CSS, Python, and JavaScript. Get extensive practice with hands-on exercises and projects that demonstrate your grasp of coding fundamentals, and build confidence in your ability to think and problem-solve like a programmer.",Karl Krueger| Kelly Howard| Julia Van Cleve| Abe Feinberg| James Parkes| Richard Kalehoff| Rachel Manning,Command Line Instructor| Instructor | Instructor| Instructor| Instructor| Instructor| FULL STACK DEVELOPER,"Before joining Udacity, Karl was a Site Reliability Engineer (SRE) at Google for eight years, building automation and monitoring to keep the world's busiest web services online.| Kelly is the Product Lead for the Web Development Nanodegree programs at Udacity.| Julia is a Content Developer at Udacity and was previously a middle school math teacher in San Jose, CA. She also dabbled in freelance web development, designing websites for small businesses in the Bay Area.| Abe is a science teacher and educational psychologist who loves learning and finding out how things work. He has a particular interest in using AI to optimize education, and his ultimate goal is to replace himself with a robot that can teach better than he can.| James received his degree in Computer Science and Mathematics, then went on to become a Udacity instructor in several programs. His personal mission is clear: to open the doors of opportunity for others by empowering them with excellent educational experiences.| Richard is a Course Developer with a passion for teaching. He has a degree in computer science, and first worked for a nonprofit doing everything from front end web development, to backend programming, to database and server management.| Rachel is a full stack freelance developer and educator where she spent 3 years as a  bootcamp curriculum developer while developing full stack freelance projects. An advocate for continued learning, she is passionate about mentoring women and underserved community in technology.",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Intro to Web Development</heading><subheading><item1>Animal Trading Cards</item1><item2>Adventure Game</item2><item3>Rock Paper Scissors</item3><item4>Build a Shopping Cart</item4></subheading></module1><module2><heading>Intro to Programming with Python I</heading><subheading></subheading></module2><module3><heading>Intro to Programming with Python II</heading><subheading></subheading></module3><module4><heading>Intro to JavaScript</heading><subheading></subheading></module4></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/data-analysis-and-visualization-with-power-BI-nanodegree--nd331>,Data Analysis and Visualization with Microsoft Power BI,<p>Meet the growing demand for data analysis and visualization professionals by gaining the Power BI skills that top companies want.</p>,Microsoft Excel,"You’ll master the in-demand skills necessary to become a successful data analyst like data pre-processing, visualization and analysis using Microsoft Power BI as the primary tool.",Lenore R Flower| Sean Chandler| Joseph Lozada,Senior Business Intelligence Specialist| Senior Business Intelligence Engineer at Humana| Business Intelligence and Operations Professional,"Lenore is a Senior Business Intelligence Specialist with a background in finance and a passion for empowering her colleagues to make data-driven decisions—even if the information they have to work with is a little rough around the edges.| Sean is a Senior Business Intelligence Engineer at Humana, where he oversees an enterprise community of thousands of users & developers. His Power BI work has been featured recently at the Microsoft Business Applications Summit and on Microsoft Mechanics.| Joseph works as a client services team leader at Morneau Shepell, where he manages a team of analysts and oversees the data management and systems functionality for his clients. He also works as an adjunct instructor of Excel and Power BI analytics at the Community College of Rhode Island.",3,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Introduction to Preparing and Modeling Data</heading><subheading><item1>Build a Data Model for Seven Sages Brewing Company</item1><item2>Building a Power BI report for Waggle</item2><item3>Market Analysis Report for National Clothing Chain</item3></subheading></module1><module2><heading>Creating Visualizations with Power BI</heading><subheading></subheading></module2><module3><heading>Advanced Data Analysis</heading><subheading></subheading></module3></mainmodule>",58257,22849,INR
<200 https://www.udacity.com/course/data-engineer-nanodegree--nd027>,Become a Data Engineer,"<p>Data Engineering is the foundation for the new world of Big Data. Enroll now to build production-ready data infrastructure, an essential skill for advancing your data career.</p>",Intermediate Python & SQL,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and work with massive datasets. At the end of the program, you’ll combine your new skills by completing a capstone project.",Amanda Moran| Ben Goldberg| Sameh El-Ansary| Olli Iivonen| David Drummond| Judit Lantos| Juno Lee,Developer Advocate at DataStax| Staff Engineer at SpotHero| CEO at Novelari & Assistant Professor at Nile University| Data Engineer at Wolt| VP of Engineering at Insight| Data Engineer at Split| Instructor,"Amanda is a developer Advocate for DataStax after spending the last 6 years as a Software Engineer on 4 different distributed databases. Her passion is bridging the gap between customers and engineering. She has degrees from University of Washington and Santa Clara University.| In his career as an engineer, Ben Goldberg has worked in fields ranging from Computer Vision to Natural Language Processing. At SpotHero, he founded and built out their Data Engineering team, using Airflow as one of the key technologies.| Sameh is the CEO of Novelari, lecturer at Nile University, and the American University in Cairo (AUC) where he lectured on security, distributed systems, software engineering, blockchain and BigData Engineering.| Olli works as a Data Engineer at Wolt. He has several years of experience on building and managing data pipelines on various data warehousing environments and has been a fan and active user of Apache Airflow since its first incarnations.| David is VP of Engineering at Insight where he enjoys breaking down difficult concepts and helping others learn data engineering. David has a PhD in Physics from UC Riverside.| Judit was formerly an instructor at Insight Data Science helping software engineers and academic coders transition to DE roles. Currently, she is a Data Engineer at Split where she works on the statistical engine of their full-stack experimentation platform.| As a data scientist, Juno built a recommendation engine to personalize online shopping experiences, computer vision and natural language processing models to analyze product data, and tools to generate insight into user behavior.",5,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Data Modeling</heading><subheading><item1>Data Modeling with Postgres</item1><item2>Build a Cloud Data Warehouse</item2><item3>Build a Data Lake</item3><item4>Data Pipelines with Airflow</item4><item5>Data Engineering Capstone</item5></subheading></module1><module2><heading>Cloud Data Warehouses</heading><subheading><item1>Data Modeling with Apache Cassandra</item1></subheading></module2><module3><heading>Spark and Data Lakes</heading><subheading></subheading></module3><module4><heading>Data Pipelines with Airflow</heading><subheading></subheading></module4><module5><heading>Capstone Project</heading><subheading></subheading></module5></mainmodule>",97095,22849,INR
<200 https://www.udacity.com/course/c-plus-plus-nanodegree--nd213>,Become a C++ Developer,"<p>Learn C++, a high-performance programming language used in the world's most exciting engineering jobs -- from self-driving cars and robotics, to web browsers, media platforms, servers, and even video games.</p>",Intermediate Programming,"Get hands-on experience by coding five real-world projects. Learn to build a route planner using OpenStreetMap data, write a process monitor for your computer, and implement your own smart pointers. Finally, showcase all your newfound skills by building a multithreaded traffic simulator and coding your own C++ application.",David Silver| Stephen Welch| Andreas Haja,Head of Curriculum| Instructor| Instructor,"David Silver leads the Udacity Curriculum Team. Before Udacity, David was a research engineer on the autonomous vehicle team at Ford. He has an MBA from Stanford, and a BSE in Computer Science from Princeton.| Stephen is a Content Developer at Udacity and has worked on the C++ and Self-Driving Car Engineer Nanodegree programs. He started teaching and coding while completing a Ph.D. in mathematics, and has been passionate about engineering education ever since.| Andreas Haja is an engineer, educator, and autonomous vehicle enthusiast. Andreas now works as an engineering professor in Germany. Previously, he developed computer vision algorithms and autonomous vehicle prototypes using C++.",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>C++ Foundations</heading><subheading><item1>Route Planner</item1><item2>Process Monitor</item2><item3>Memory Management Chatbot</item3><item4>Concurrent Traffic Simulation</item4><item5>Capstone Project: Build Your Own C++ Application</item5></subheading></module1><module2><heading>Object-Oriented Programming (OOP)</heading><subheading></subheading></module2><module3><heading>Memory Management</heading><subheading></subheading></module3><module4><heading>Concurrency</heading><subheading></subheading></module4><module5><heading>Capstone Project</heading><subheading></subheading></module5></mainmodule>",77676,22849,INR
<200 https://www.udacity.com/course/aws-cloud-architect-nanodegree--nd063>,Become an AWS Cloud Architect,"<p>Lead your organization's cloud computing strategy as an AWS Cloud Architect. Plan, design, and build secure, high availability cloud infrastructure.</p>","Experience with Cloud Computing, Programming, and AWS","Play a critical role in an organization’s cloud computing strategy as an AWS Cloud Architect. Learn to plan, design, and implement secure cloud infrastructure in AWS at scale. Begin by designing and building high availability infrastructure, and then move on to building scalable, secure, and cost-optimized architecture. Finally, explore and execute best practices and strategies around securing access to cloud services and infrastructure. 

",Tom Verbiscer| Leslie Bell| Mehdi Razvi,Director of Engineering at Current Media| Disaster Recovery Specialist at Aon| Senior Cloud Architect at NuEra Automotive Solutions,"Tom is a coach and builder specializing in creating, running, and advancing highly scalable, reliable, and flexible platforms. He is AWS Certified at the professional tier as both an AWS Solutions Architect, and DevOps Engineer.
 
| Leslie Bell is a Senior Solutions Architect specializing in IT Governance and Disaster Recovery. She has worked in technology across a number of industries, from scientific research, chemical analysis, transportation, to insurance to cloud-based infrastructure.| Mehdi is a senior cloud architect and consultant based out of the Chicago area. He loves helping companies large and small build, deploy, and run their applications in the cloud. Most recently, he has worked with companies such as 2ndWatch and GuidePoint Security.
",3,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Design for Availability, Reliability, and Resiliency</heading><subheading><item1>Recoverability in AWS</item1><item2>Design, Provision, and Monitor AWS Infrastructure at Scale</item2><item3>Securing the Recipe Vault Application</item3></subheading></module1><module2><heading>Design for Performance and Scalability</heading><subheading></subheading></module2><module3><heading>Design for Security</heading><subheading></subheading></module3></mainmodule>",58257,22849,INR
<200 https://www.udacity.com/course/data-streaming-nanodegree--nd029>,Data Streaming ,<p> Learn the skills to take you into the next era of data engineering. Build real-time applications to process big data at scale.</p>,"Intermediate Python, SQL, and experience with ETL","Learn how to process data in real-time by building fluency in modern data engineering tools, such as Apache Spark, Kafka, Spark Streaming, and Kafka Streaming.

You’ll start by understanding the components of data streaming systems. You’ll then build a real-time analytics application. Students will also compile data and run analytics, as well as draw insights from reports generated by the streaming console.",Ben Goldberg| Judit Lantos| David Drummond| Sean Murdock,"Staff Engineer at SpotHero| Senior Data Engineer at Netflix| VP of Engineering at Insight| Faculty Member, BYU - Idaho","In his career as an engineer, Ben Goldberg has worked in fields ranging from Computer Vision to Natural Language Processing. At SpotHero, he founded and built out their Data Engineering team, using Airflow as one of the key technologies.
| Judit is a Senior Data Engineer at Netflix. Formerly a Data Engineer at Split, where she worked on the statistical engine of their full-stack experimentation platform, she has also been an instructor at Insight Data Science, helping software engineers and academic coders transition to DE roles. | David is VP of Engineering at Insight where he enjoys breaking down difficult concepts and helping others learn data engineering. David has a PhD in Physics from UC Riverside.| Sean has worked as an Architect or Software Engineer for Columbia Ultimate, Firstsource Global, Intermountain Healthcare, General Motors, The Church of Jesus Christ, Northrup Grumman, Zions Bank, and Ancestry. He currently teaches DevOps and Cybersecurity for Brigham Young University Idaho.",2,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Foundations of Data Streaming</heading><subheading><item1>Optimize Chicago Public Transit</item1><item2>Evaluate Human Balance with Spark Streaming</item2></subheading></module1><module2><heading>Streaming API Development and Documentation</heading><subheading></subheading></module2></mainmodule>",38838,22849,INR
<200 https://www.udacity.com/course/business-analytics-nanodegree--nd098>,Business Analytics,"<p>Gain foundational data skills applicable to any industry. Collect and analyze data, model business scenarios, and communicate your findings with SQL, Excel, and Tableau.</p>",None,"In this program, you’ll learn foundational data skills that apply across functions and industries. You’ll learn to analyze data and build models with Excel, query databases using SQL, and create informative data visualizations with Tableau.",Josh Bernhard | Dana Sheahan| Mat Leonard| Derek Steer| Sam Nelson,Data Scientist at Nerd Wallet | Content Developer| Instructor| CEO at Mode| Product Lead,"Josh has been sharing his passion for data for nearly a decade at all levels of university, and as Lead Data Science Instructor at Galvanize. He's used data science for work ranging from cancer research to process automation.| Dana is an electrical engineer with a Masters in Computer Science from Georgia Tech. Her work experience includes software development for embedded systems in the Automotive Group at Motorola, where she was awarded a patent for an onboard operating system.| Mat is a former physicist, research neuroscientist, and data scientist. He did his PhD and Postdoctoral Fellowship at the University of California, Berkeley. | Derek is the CEO of Mode Analytics. He developed an analytical foundation at Facebook and Yammer and is passionate about sharing it with future analysts. He authored SQL School and is a mentor at Insight Data Science.| Sam is the Product Lead for Udacity’s Data Analyst, Business Analyst, and Data Foundations programs. He’s worked as an analytics consultant on projects in several industries, and is passionate about helping others improve their data skills.",3,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Welcome to the Program</heading><subheading><item1>Interpret a Data Visualization</item1><item2>Analyze NYSE Data</item2><item3>Query a Digital Music Store Database</item3><item4>Build Data Dashboards</item4></subheading></module1><module2><heading>Introduction to Data</heading><subheading></subheading></module2><module3><heading>SQL for Data Analysis</heading><subheading></subheading></module3><module4><heading>Data Visualization</heading><subheading></subheading></module4></mainmodule>",58257,22849,INR
<200 https://www.udacity.com/course/robotics-software-engineer--nd209>,Become a Robotics Software Engineer,"<p>Build hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, Localization, Mapping, SLAM, Navigation, and Path Planning.</p>",Mathematics & Programming,"Begin your exploration into the world of robotics software engineering with a practical, system-focused approach to programming robots using the ROS framework and C++. In addition, learn and apply robotics software engineering algorithms such as localization, mapping, and navigation.",Sebastian Thrun| David Silver| Karim Chamaa| Julia Chernushevich,Instructor| Curriculum Lead| Course Developer| Course Developer,"As the founder and president of Udacity, Sebastian’s mission is to democratize education. He is also the founder of Google X, where he led projects including the Self-Driving Car, Google Glass, and more.| David Silver leads the School of Autonomous Systems at Udacity. Before Udacity, David was a research engineer on the autonomous vehicle team at Ford. He has an MBA from Stanford, and a BSE in computer science from Princeton.| Karim started his early career as a Mechanical Engineer. He earned his M.S. in Mechatronics and Robotics Engineering from NYU. His specialties include Kinematics, Control, and Electronics.| Julia is an experienced educator and robotics specialist. Her previous work experiences include teaching Mechatronics Engineering at the University of Waterloo and designing electric vehicles for underground mines.",4,months,2022-10-12T00:00:00,"<?xml version=""1.0""?><mainmodule><module1><heading>Introduction To Robotics</heading><subheading><item1>Build My World</item1><item2>Go Chase It!</item2><item3>Where Am I?</item3><item4>Map My World</item4><item5>Home Service Robot</item5></subheading></module1><module2><heading>Gazebo World</heading><subheading></subheading></module2><module3><heading>ROS Essentials</heading><subheading></subheading></module3><module4><heading>Localization</heading><subheading></subheading></module4><module5><heading>Mapping and SLAM</heading><subheading></subheading></module5><module6><heading>Path Planning and Navigation</heading><subheading></subheading></module6></mainmodule>",77676,22849,INR
